 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> mars 02, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Gold.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,9311E+01 g/cm3 = 5,9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   1,280E+02  1,266E-01    4,75 um     6334 A      9043 A   
   1,00 MeV   1,211E+02  1,166E-01    5,51 um     7015 A      1,02 um  
   1,10 MeV   1,168E+02  1,082E-01    6,29 um     7712 A      1,14 um  
   1,20 MeV   1,128E+02  1,010E-01    7,11 um     8418 A      1,26 um  
   1,30 MeV   1,091E+02  9,475E-02    7,96 um     9134 A      1,39 um  
   1,40 MeV   1,056E+02  8,931E-02    8,84 um     9859 A      1,52 um  
   1,50 MeV   1,023E+02  8,451E-02    9,75 um     1,06 um     1,65 um  
   1,60 MeV   9,926E+01  8,023E-02   10,69 um     1,13 um     1,78 um  
   1,70 MeV   9,642E+01  7,641E-02   11,66 um     1,21 um     1,92 um  
   1,80 MeV   9,378E+01  7,296E-02   12,66 um     1,29 um     2,06 um  
   2,00 MeV   8,898E+01  6,698E-02   14,74 um     1,46 um     2,35 um  
   2,25 MeV   8,376E+01  6,085E-02   17,50 um     1,68 um     2,73 um  
   2,50 MeV   7,925E+01  5,582E-02   20,43 um     1,91 um     3,12 um  
   2,75 MeV   7,531E+01  5,161E-02   23,52 um     2,14 um     3,53 um  
   3,00 MeV   7,182E+01  4,804E-02   26,78 um     2,37 um     3,96 um  
   3,25 MeV   6,871E+01  4,496E-02   30,19 um     2,61 um     4,40 um  
   3,50 MeV   6,592E+01  4,228E-02   33,75 um     2,86 um     4,86 um  
   3,75 MeV   6,339E+01  3,992E-02   37,47 um     3,11 um     5,33 um  
   4,00 MeV   6,109E+01  3,783E-02   41,33 um     3,37 um     5,81 um  
   4,50 MeV   5,705E+01  3,428E-02   49,48 um     3,97 um     6,83 um  
   5,00 MeV   5,360E+01  3,138E-02   58,19 um     4,58 um     7,89 um  
   5,50 MeV   5,063E+01  2,896E-02   67,46 um     5,21 um     9,01 um  
   6,00 MeV   4,802E+01  2,691E-02   77,25 um     5,85 um    10,18 um  
   6,50 MeV   4,572E+01  2,514E-02   87,56 um     6,50 um    11,40 um  
   7,00 MeV   4,366E+01  2,361E-02   98,39 um     7,17 um    12,67 um  
   8,00 MeV   4,014E+01  2,108E-02  121,52 um     8,83 um    15,36 um  
   9,00 MeV   3,723E+01  1,906E-02  146,59 um    10,52 um    18,22 um  
  10,00 MeV   3,478E+01  1,742E-02  173,55 um    12,24 um    21,27 um  
  11,00 MeV   3,268E+01  1,605E-02  202,35 um    14,00 um    24,49 um  
  12,00 MeV   3,085E+01  1,489E-02  232,95 um    15,81 um    27,87 um  
  13,00 MeV   2,925E+01  1,390E-02  265,30 um    17,67 um    31,42 um  
  14,00 MeV   2,783E+01  1,304E-02  299,39 um    19,59 um    35,14 um  
  15,00 MeV   2,656E+01  1,229E-02  335,17 um    21,55 um    39,00 um  
  16,00 MeV   2,542E+01  1,162E-02  372,62 um    23,57 um    43,03 um  
  17,00 MeV   2,439E+01  1,102E-02  411,72 um    25,64 um    47,20 um  
  18,00 MeV   2,346E+01  1,049E-02  452,44 um    27,76 um    51,53 um  
  20,00 MeV   2,181E+01  9,572E-03  538,62 um    33,22 um    60,61 um  
  22,50 MeV   2,010E+01  8,639E-03  655,09 um    40,76 um    72,78 um  
  25,00 MeV   1,867E+01  7,879E-03  781,05 um    48,35 um    85,80 um  
  27,50 MeV   1,746E+01  7,249E-03  916,25 um    56,08 um    99,65 um  
  30,00 MeV   1,642E+01  6,717E-03    1,06 mm    63,99 um   114,31 um  
  32,50 MeV   1,551E+01  6,262E-03    1,21 mm    72,10 um   129,75 um  
  35,00 MeV   1,472E+01  5,867E-03    1,38 mm    80,43 um   145,96 um  
  37,50 MeV   1,401E+01  5,521E-03    1,55 mm    88,98 um   162,92 um  
  40,00 MeV   1,338E+01  5,216E-03    1,72 mm    97,75 um   180,60 um  
  45,00 MeV   1,231E+01  4,702E-03    2,11 mm   121,76 um   218,12 um  
  50,00 MeV   1,142E+01  4,284E-03    2,52 mm   145,71 um   258,37 um  
  55,00 MeV   1,067E+01  3,937E-03    2,96 mm   169,94 um   301,25 um  
  60,00 MeV   1,003E+01  3,645E-03    3,44 mm   194,62 um   346,66 um  
  65,00 MeV   9,475E+00  3,395E-03    3,94 mm   219,83 um   394,51 um  
  70,00 MeV   8,993E+00  3,179E-03    4,47 mm   245,61 um   444,72 um  
  80,00 MeV   8,188E+00  2,823E-03    5,61 mm   319,12 um   551,92 um  
  90,00 MeV   7,544E+00  2,542E-03    6,86 mm   391,27 um   667,68 um  
 100,00 MeV   7,017E+00  2,313E-03    8,21 mm   463,64 um   791,47 um  
 110,00 MeV   6,576E+00  2,125E-03    9,65 mm   536,90 um   922,83 um  
 120,00 MeV   6,202E+00  1,965E-03   11,19 mm   611,36 um     1,06 mm  
 130,00 MeV   5,881E+00  1,830E-03   12,82 mm   687,14 um     1,21 mm  
 140,00 MeV   5,602E+00  1,712E-03   14,53 mm   764,32 um     1,36 mm  
 150,00 MeV   5,357E+00  1,609E-03   16,32 mm   842,87 um     1,52 mm  
 160,00 MeV   5,141E+00  1,519E-03   18,20 mm   922,78 um     1,68 mm  
 170,00 MeV   4,948E+00  1,438E-03   20,15 mm     1,00 mm     1,85 mm  
 180,00 MeV   4,775E+00  1,366E-03   22,17 mm     1,09 mm     2,02 mm  
 200,00 MeV   4,478E+00  1,242E-03   26,43 mm     1,32 mm     2,38 mm  
 225,00 MeV   4,177E+00  1,117E-03   32,12 mm     1,65 mm     2,86 mm  
 250,00 MeV   3,934E+00  1,016E-03   38,19 mm     1,96 mm     3,36 mm  
 275,00 MeV   3,733E+00  9,322E-04   44,62 mm     2,27 mm     3,89 mm  
 300,00 MeV   3,565E+00  8,617E-04   51,37 mm     2,57 mm     4,43 mm  
 325,00 MeV   3,422E+00  8,015E-04   58,43 mm     2,87 mm     4,99 mm  
 350,00 MeV   3,300E+00  7,494E-04   65,76 mm     3,17 mm     5,56 mm  
 375,00 MeV   3,194E+00  7,040E-04   73,36 mm     3,47 mm     6,15 mm  
 400,00 MeV   3,101E+00  6,640E-04   81,20 mm     3,77 mm     6,74 mm  
 450,00 MeV   2,947E+00  5,967E-04   97,53 mm     4,65 mm     7,96 mm  
 500,00 MeV   2,825E+00  5,422E-04  114,65 mm     5,47 mm     9,22 mm  
 550,00 MeV   2,726E+00  4,972E-04  132,46 mm     6,25 mm    10,49 mm  
 600,00 MeV   2,645E+00  4,593E-04  150,86 mm     7,00 mm    11,77 mm  
 650,00 MeV   2,578E+00  4,270E-04  169,80 mm     7,73 mm    13,07 mm  
 700,00 MeV   2,522E+00  3,991E-04  189,20 mm     8,44 mm    14,37 mm  
 800,00 MeV   2,434E+00  3,534E-04  229,15 mm    10,56 mm    16,97 mm  
 900,00 MeV   2,369E+00  3,173E-04  270,40 mm    12,47 mm    19,56 mm  
   1,00 GeV   2,321E+00  2,882E-04  312,66 mm    14,21 mm    22,12 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  5,1786E-04                keV / (ug/cm2) 
  5,1786E-04                MeV / (mg/cm2) 
  5,1786E-01                keV / (mg/cm2) 
  1,6938E-01                 eV / (1E15 atoms/cm2)
  2,1926E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
